SR.,WL,Date,WellNo,Village,Lat,Long
1,-1.65,01-01-2023 00:00,W130430077463001,Hosakote,13.075,77.775
2,-24.24,01-05-2023 00:00,W130430077463001,Hosakote,13.075,77.775
3,-24.59,01-08-2023 00:00,W130430077463001,Hosakote,13.075,77.775
4,-24.59,01-11-2023 00:00,W130430077463001,Hosakote,13.075,77.775
5,-24.94,01-01-2024 00:00,W130430077463001,Hosakote,13.075,77.775
6,-26.71,10-05-2024 00:00,W130430077463001,Hosakote,13.075,77.775
7,-28,20-08-2024 00:00,W130430077463001,Hosakote,13.075,77.775
8,-23.4,22-11-2024 00:00,W130430077463001,Hosakote,13.075,77.775
9,-32.27,25-05-2025 08:00,W130430077463001,Hosakote,13.075,77.775
10,-33.03,26-08-2025 08:00,W130430077463001,Hosakote,13.075,77.775
11,-21.08,01-08-2022 00:00,W131500077433001,Devenahalli,13.25,77.725
12,-17.71,01-11-2022 00:00,W131500077433001,Devenahalli,13.25,77.725
13,-4.5,01-01-2023 00:00,W131500077433001,Devenahalli,13.25,77.725
14,-16.96,01-05-2023 00:00,W131500077433001,Devenahalli,13.25,77.725
15,-17.13,01-08-2023 00:00,W131500077433001,Devenahalli,13.25,77.725
16,-17.25,01-11-2023 00:00,W131500077433001,Devenahalli,13.25,77.725
17,-17.34,01-01-2024 00:00,W131500077433001,Devenahalli,13.25,77.725
18,-17.61,10-05-2024 00:00,W131500077433001,Devenahalli,13.25,77.725
19,-17.48,20-08-2024 00:00,W131500077433001,Devenahalli,13.25,77.725
20,-16.85,30-11-2024 00:00,W131500077433001,Devenahalli,13.25,77.725
21,-17.07,29-05-2025 08:00,W131500077433001,Devenahalli,13.25,77.725
22,-16.62,26-08-2025 08:00,W131500077433001,Devenahalli,13.25,77.725
23,-18.48,01-08-2022 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
24,-3.73,01-11-2022 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
25,-15.7,01-01-2023 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
26,-16.78,01-05-2023 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
27,-17.12,01-08-2023 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
28,-17,01-11-2023 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
29,-17.3,01-01-2024 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
30,-20.02,10-05-2024 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
31,-20.6,20-08-2024 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
32,-18.4,28-11-2024 00:00,W131633077381901,Vishwanathapura,13.2759,77.6385
33,-20.39,25-05-2025 08:00,W131633077381901,Vishwanathapura,13.2759,77.6385
34,-20.42,26-08-2025 08:00,W131633077381901,Vishwanathapura,13.2759,77.6385
